Command,Count,% Over total
/Users/bruno/Desktop/LoomInstall,1,0.00%
/Users/maria/Desktop/NCTZICHIPJ,1,0.00%
/Users/user1/Desktop/GoRAT-stage2,1,0.00%
/Users/maria/Desktop/E1QwYxLNrU,1,0.00%
/Users/maria/Desktop/2YlM1p1pHJ,1,0.00%
/Users/maria/Resources/9734905500,1,0.00%
/Users/maria/Desktop/1GiFF48UvQ,1,0.00%
/Users/maria/Desktop/610449027.txt,1,0.00%
/Users/maria/Desktop/43af82be78397a89d9e77b44944b2cb04e7b5e25c367cffbb0b7a1d970a8,1,0.00%
/Users/user1/Desktop/SX2ejRxmyN,1,0.00%
/Users/maria/Desktop/9dd0046ec7df83545c25f1c5b9825f8852135526a33d64709daf3f89a486,1,0.00%
/Users/maria/Desktop/iqEhsyp2wM,1,0.00%
/Users/maria/Desktop/beacon_amd64,1,0.00%
/Users/user1/Desktop/cd79b8a37d87be148451285ff7fe658319b18e01647e14b7c0502c4c0c3e,1,0.00%
/Users/maria/Desktop/ef9164fc14f192387ec47ddf80b52ae87eda9f72fe41c86c11083611a21c,1,0.00%
