Hash,Avg_Entropy,Packed
e27cb516d25ecf300d332e2ac77754e3,3.872778750265087,not packed
db86cbc4fb6311fbb9c4f766a52aa498,6.62157058042736,packed
d9c12ce1732ba608b91300d5912a5481,4.076936387045367,not packed
d5703dbe99f056d094e86da9404fef1d,6.354780992452602,not packed
d0ffe6d96172afd431b1061bc4c9527e,1.902461155231665,not packed
ce36a40f38deb0e823f5db1dc8b579fc,6.597144363613629,packed
ccbbc2a2abd133ac9b624b23b8ef4b9a,6.946282948533559,packed
cb30ac4e5c992752afe0b6e46b7fad88,6.057172088253829,not packed
c5ed05b61c5257beb138af6b36f4b1ac,5.917844899650917,not packed
c500730ac926fb03499fdb3b4143f9be,6.156850179477002,not packed
c0f6c7472ec563aed000db8327ac72a0,5.770263722953748,not packed
bb85845a25807661ae199472e64366fc,5.244918668923751,not packed
bae790dadac5ef8e22fa66eca8268733,4.670713415131687,not packed
ba1c42e0900ce30ed2ddcd1e0c9fcfd3,6.946280089801147,packed
b48a1193ff09f0bc1e2960bb7ea3ec2f,6.707749296094412,packed
af79f452d9dc0b3fe37df77b3e0d01d5,6.942540695380624,packed
ad5f421cfa2dea5d062ea8c990262e8b,6.387301278350841,not packed
a840f407e6a44661a06d295fa230b889,6.005073198086304,not packed
a6d8aa3dfc37b1b585a6768463ba4d32,6.707677225333814,packed
a5af349476a0e59cb2ac95c2b24e1cfa,5.656196805108408,not packed
a3cb0a5328aca42b1da0ff36d9befb01,6.707670169285519,packed
a21c4755b6ee2b7ad29da5c4c234b881,6.32926218119458,not packed
992ac027e353ef636895bc6d7908b877,6.368918261389112,not packed
97b4d6bc15b25a34e0a0576ebf0e006b,5.214796180269817,not packed
964078f0f6fd67f7f9c07dd934a033a1,5.738220155067707,not packed
92a36f43220dc83a7f6566d726066596,6.274940830038906,not packed
90019f08efb1c2a9b42474012b4c5696,7.378994781387944,packed
8904f05baa675a5ce89ed1ca674220a0,5.379307975263843,not packed
81a745da1e4543ae21c85d4e21c5a3a9,6.0365952063205714,not packed
7b41176a8ef1e76c6e96c6a3413fca34,6.276824052727859,not packed
79807149d33b32ed4a5ed059f3f44ca2,6.216017796321379,not packed
7872c09b307dc8c37fac57cdf00665c2,6.369926513699551,not packed
705bac49a22b8d635dac694dc0f3e3c4,6.94383916178049,packed
6f5426df33c1e30cf5d0e759c166f9cd,6.283186708648855,not packed
6dd311e9991ebe1318f6d65bc8c8025f,6.941798292160294,packed
684e1ec6de357b34ff86ac5a6680c972,6.309431255031957,not packed
5bcdfe094a6f8482dc51ac1deafebed6,5.081041952980483,not packed
587474085a24feebff922c1f69a25676,6.569938961798987,packed
4d72626a9aebbae78157c03f3cc9c07d,5.463140969499021,not packed
4a20248ec758e35123e4788fe30f12ff,6.160236177736089,not packed
47ed7e58b64a54e0159682604d8e29ed,6.797094911048996,packed
47e22e2b67d592daf545f7f5c4041bfb,6.105719314211517,not packed
47bcd5de566c3e6cda74fa2f76c1d688,4.716706315173605,not packed
44fab4d2d19c1958deee8c5820817578,6.044752092803662,not packed
3da3790d0a7c1536e03b2c4e1edd13bd,5.0760796896416815,not packed
3d4d98d4ddc8009651f85f953a75d319,7.219866305254722,packed
3cfff5198ea80ff47804cc694f188959,6.010882883372205,not packed
3b411002f7badde06100d2cb609eb4f9,6.1478535706644974,not packed
38ab0371e6014687ba5d53d53fd16e5c,6.268265115914556,not packed
3375f46dd50f8699933dde2db6f06b00,6.47689127651133,not packed
3340047ddcd2d3fa93b37ab59737c018,5.837055207745174,not packed
332c3eb4aeed443d1ba1df0acb1d72ec,5.981900593581411,not packed
277462ccf1d6b91660b7a51afd0dd993,5.981320883189895,not packed
272195ec62d3db885040351e9971da9f,4.781752022285098,not packed
1f942914dbe0956e9bd6edb06cdc1bb2,6.270512657156892,not packed
1dbfc616110bdba31ad3ef308eec3430,6.707674040738679,packed
1b69eb38463f88ae2e8c626919ab9fda,5.911846315617031,not packed
1803de51199e419766474dedc845b454,6.863083939590461,packed
